ID 124 Department Отдел внутреннего контроля и аудита  Position Старший казначей,
ID 125 Department Отдел внутреннего контроля и аудита  Position Старший казначей,
ID 126 Department Отдел внутреннего контроля и аудита  Position Старший казначей,
ID 127 Department Отдел внутреннего контроля и аудита  Position Старший казначей,
ID 128 Department Отдел внутреннего контроля и аудита  Position Старший казначей,
ID 129 Department Отдел централизованной бухгалтерии  Position Начальник отдела – главный бухгалтер,
ID 130 Department Отдел централизованной бухгалтерии  Position Заместитель начальника отдела - заместитель главного бухгалтера ,
ID 131 Department Отдел централизованной бухгалтерии  Position Старший казначей,
ID 132 Department Отдел централизованной бухгалтерии  Position Казначей,
ID 133 Department Отдел централизованной бухгалтерии  Position Казначей,
ID 134 Department Отдел централизованной бухгалтерии  Position Старший Казначей,
ID 135 Department Отдел централизованной бухгалтерии  Position Старший казначей,
ID 136 Department Отдел централизованной бухгалтерии  Position Казначей,
ID 137 Department Отдел централизованной бухгалтерии  Position Старший казначей,
ID 138 Department Отдел централизованной бухгалтерии  Position казначей,
ID 139 Department Отдел информационных систем  Position Специалист - эксперт,
ID 140 Department Отдел информационных систем  Position Ведущий специалист-эксперт,
ID 141 Department Отдел информационных систем  Position Специалист - эксперт,
ID 142 Department Отдел государственной гражданской службы и кадров  Position Начальник отдела,
ID 143 Department Отдел государственной гражданской службы и кадров  Position Ведущий специалист-эксперт,
ID 144 Department Отдел государственной гражданской службы и кадров  Position Ведущий специалист-эксперт,
ID 145 Department Отдел государственной гражданской службы и кадров  Position Ведущий специалист-эксперт,
ID 146 Department Отдел государственной гражданской службы и кадров  Position Специалист - эксперт,
ID 147 Department Отдел государственной гражданской службы и кадров  Position Ведущий специалист-эксперт,
ID 148 Department Отдел государственной гражданской службы и кадров  Position Главный специалист-эксперт,
ID 149 Department Отдел государственной гражданской службы и кадров  Position Специалист - эксперт,
ID 150 Department Отдел государственной гражданской службы и кадров  Position Специалист - эксперт,
ID 151 Department Административно-финансовый отдел  Position Начальник отдела – главный бухгалтер,
ID 152 Department Административно-финансовый отдел  Position Заместитель начальника отдела – заместитель главного бухгалтера,
ID 153 Department Административно-финансовый отдел  Position Главный специалист-эксперт,
ID 154 Department Административно-финансовый отдел  Position Главный специалист-эксперт,
ID 155 Department Административно-финансовый отдел  Position Специалист - эксперт,
ID 156 Department Административно-финансовый отдел  Position Ведущий специалист-эксперт,
ID 157 Department Административно-финансовый отдел  Position Эксперт,
ID 158 Department Административно-финансовый отдел  Position Ведущий специалист-эксперт,
ID 159 Department Административно-финансовый отдел  Position Старший специалист 1 разряда,
ID 160 Department Административно-финансовый отдел  Position Специалист 1 разряда,
ID 161 Department Отдел функционирования контрактной системы   Position Начальник отдела,
ID 162 Department Отдел функционирования контрактной системы   Position Заместитель начальника отдела,
ID 163 Department Отдел функционирования контрактной системы   Position Специалист 1 разряда,
ID 164 Department Отдел функционирования контрактной системы   Position Специалист 1 разряда,
ID 165 Department Отдел функционирования контрактной системы   Position Специалист 1 разряда,
ID 166 Department Отдел функционирования контрактной системы   Position Специалист 1 разряда,
ID 167 Department Отдел функционирования контрактной системы   Position Специалист 1 разряда,
ID 168 Department Контрольно-ревизионный отдел в финансово - бюджетной сфере  Position Заместитель руководителя управления,
ID 169 Department Контрольно-ревизионный отдел в финансово - бюджетной сфере  Position Начальник отдела,
ID 170 Department Контрольно-ревизионный отдел в финансово - бюджетной сфере  Position Заместитель начальника отдела,
ID 171 Department Контрольно-ревизионный отдел в финансово - бюджетной сфере  Position Заместитель начальника отдела,
ID 172 Department Контрольно-ревизионный отдел в финансово - бюджетной сфере  Position Главный контролер-ревизор,
ID 173 Department Контрольно-ревизионный отдел в финансово - бюджетной сфере  Position Главный контролер-ревизор,
ID 174 Department Контрольно-ревизионный отдел в финансово - бюджетной сфере  Position Старший контролер-ревизор,
ID 175 Department Контрольно-ревизионный отдел в финансово - бюджетной сфере  Position Старший контролер-ревизор,
ID 176 Department Контрольно-ревизионный отдел в финансово - бюджетной сфере  Position Старший контролер-ревизор,
ID 177 Department Контрольно-ревизионный отдел в финансово - бюджетной сфере  Position Старший специалист 3 разряда,
ID 178 Department Контрольно-ревизионный отдел в финансово - бюджетной сфере  Position Контролер-ревизор,
ID 179 Department Контрольно-ревизионный отдел в финансово - бюджетной сфере  Position Специалист - эксперт,
ID 180 Department Контрольно-ревизионный отдел в финансово - бюджетной сфере  Position Контролер-ревизор,
ID 181 Department Отдел № 7 Межрегионального филиала ФКУ «Центр по обеспечению деятельности Казначейства России» в г. Владимире (г. Кострома)  Position Начальник отдела,
ID 182 Department Отдел № 7 Межрегионального филиала ФКУ «Центр по обеспечению деятельности Казначейства России» в г. Владимире (г. Кострома)  Position Эксперт,
ID 183 Department Отдел № 7 Межрегионального филиала ФКУ «Центр по обеспечению деятельности Казначейства России» в г. Владимире (г. Кострома)  Position Инженер,
ID 184 Department Отдел № 7 Межрегионального филиала ФКУ «Центр по обеспечению деятельности Казначейства России» в г. Владимире (г. Кострома)  Position Инженер,
ID 185 Department Отдел № 7 Межрегионального филиала ФКУ «Центр по обеспечению деятельности Казначейства России» в г. Владимире (г. Кострома)  Position Инженер,
ID 186 Department Отдел № 7 Межрегионального филиала ФКУ «Центр по обеспечению деятельности Казначейства России» в г. Владимире (г. Кострома)  Position Инженер,
ID 187 Department Отдел № 7 Межрегионального филиала ФКУ «Центр по обеспечению деятельности Казначейства России» в г. Владимире (г. Кострома)  Position Механик,
ID 188 Department Отдел № 7 Межрегионального филиала ФКУ «Центр по обеспечению деятельности Казначейства России» в г. Владимире (г. Кострома)  Position Инженер,
ID 189 Department Отдел № 7 Межрегионального филиала ФКУ «Центр по обеспечению деятельности Казначейства России» в г. Владимире (г. Кострома)  Position Инженер,
ID 190 Department ����������� Position ������������,
